번호,종목명,평가액(억 원),자산군 내 비중(퍼센트),지분율(퍼센트)
41,INTUITIVE SURGICAL INC,10866,0.34,0.7
42,THERMO FISHER SCIENTIFIC INC,10766,0.34,0.41
43,BANK OF AMERICA CORP,10708,0.33,0.31
44,NETFLIX INC,10531,0.33,0.39
45,CHEVRON CORP,10263,0.32,0.29
46,COMPASS GROUP PLC,10155,0.32,1.69
47,MEDTRONIC PLC,10145,0.32,0.72
48,WELLS FARGO + CO,10118,0.32,0.45
49,KEYENCE CORP,9857,0.31,0.71
50,ADVANCED MICRO DEVICES,9687,0.3,0.32
51,SERVICENOW INC,9562,0.3,0.51
52,TJX COMPANIES INC,9511,0.3,0.69
53,TENCENT HOLDINGS LTD,9470,0.3,0.21
54,LINDE PLC,9436,0.29,0.37
55,SALESFORCE INC,9387,0.29,0.29
56,ORACLE CORP,9276,0.29,0.25
57,DANAHER CORP,9085,0.28,0.41
58,PEPSICO INC,9083,0.28,0.3
59,ING GROEP NV,8830,0.28,1.31
60,L OREAL,8518,0.27,0.25
61,QUALCOMM INC,8411,0.26,0.4
62,ABBVIE INC,8166,0.25,0.23
63,ALIBABA GROUP HOLDING LTD,8112,0.25,0.32
64,NIKE INC  CL B,7973,0.25,0.47
65,AUTOMATIC DATA PROCESSING,7933,0.25,0.64
66,WALMART INC,7845,0.24,0.05
67,CONOCOPHILLIPS,7820,0.24,0.44
68,SUNCOR ENERGY INC,7581,0.24,1.42
69,ASTRAZENECA PLC,7563,0.24,0.28
70,SIEMENS AG REG,7357,0.23,0.38
71,INTEL CORP,7331,0.23,0.27
72,SHELL PLC,7290,0.23,0.27
73,GOLDMAN SACHS GROUP INC,7272,0.23,0.45
74,PFIZER INC,7201,0.22,0.34
75,MICRON TECHNOLOGY INC,7162,0.22,0.59
76,INVESCO MSCI USA UCITS ETF,7107,0.22,13.07
77,HSBC HOLDINGS PLC,7097,0.22,0.36
78,TOTALENERGIES SE,7075,0.22,0.34
79,BHP GROUP LTD,7058,0.22,0.31
80,SHIN ETSU CHEMICAL CO LTD,6964,0.22,0.64
81,MERCEDES BENZ GROUP AG,6938,0.22,0.74
82,MOODY S CORP,6921,0.22,0.75
83,SCHNEIDER ELECTRIC SE,6890,0.22,0.46
84,SANOFI,6876,0.21,0.43
85,AIA GROUP LTD,6840,0.21,0.54
86,TEXAS INSTRUMENTS INC,6836,0.21,0.34
87,UNILEVER PLC,6831,0.21,0.44
88,INTUIT INC,6831,0.21,0.3
89,CME GROUP INC,6808,0.21,0.7
90,PDD HOLDINGS INC,6724,0.21,0.27
91,S+P GLOBAL INC,6686,0.21,0.37
92,MERCADOLIBRE INC,6653,0.21,0.65
93,COCA COLA CO/THE,6558,0.2,0.2
94,AMERICAN EXPRESS CO,6522,0.2,0.37
95,FISERV INC,6502,0.2,0.64
96,WALT DISNEY CO/THE,6453,0.2,0.3
97,MORGAN STANLEY,6326,0.2,0.32
98,BAYERISCHE MOTOREN WERKE AG,6297,0.2,0.76
99,AMUNDI CAC 40 UCITS ETF,6291,0.2,13.95
100,NEXT FUNDS TOPIX EXCHANGE TRAD,6248,0.2,0.34
101,NORTHROP GRUMMAN CORP,6221,0.19,0.7
102,ALIMENTATION COUCHE TARD INC,6150,0.19,0.84
103,MARSH + MCLENNAN COS,6118,0.19,0.51
104,MCDONALD S CORP,6070,0.19,0.22
105,STRYKER CORP,5976,0.19,0.41
106,RTX CORP,5867,0.18,0.41
107,UBS GROUP AG REG,5844,0.18,0.42
108,COGNIZANT TECH SOLUTIONS A,5814,0.18,1.2
109,AMPHENOL CORP CL A,5787,0.18,0.75
110,ISHARES S+P/TSX 60 INDEX ETF,5760,0.18,4.96
111,VERIZON COMMUNICATIONS INC,5667,0.18,0.28
112,ABBOTT LABORATORIES,5591,0.17,0.23
113,DAIMLER TRUCK HOLDING AG,5554,0.17,1.39
114,PHILIP MORRIS INTERNATIONAL,5548,0.17,0.29
115,APPLIED MATERIALS INC,5532,0.17,0.32
116,HEINEKEN NV,5529,0.17,0.73
117,GENERAL DYNAMICS CORP,5504,0.17,0.6
118,TOYOTA MOTOR CORP,5411,0.17,0.14
119,LLOYDS BANKING GROUP PLC,5392,0.17,1.08
120,LAM RESEARCH CORP,5374,0.17,0.41
121,CITIGROUP INC,5349,0.17,0.42
122,DEERE + CO,5315,0.17,0.37
123,VERTEX PHARMACEUTICALS INC,5285,0.16,0.39
124,ATLAS COPCO AB A SHS,5284,0.16,0.71
125,SCHWAB (CHARLES) CORP,5277,0.16,0.34
126,KERING,5263,0.16,0.75
127,GILEAD SCIENCES INC,5247,0.16,0.4
128,SONY GROUP CORP,5229,0.16,0.34
129,UBER TECHNOLOGIES INC,5228,0.16,0.32
130,AON PLC CLASS A,5223,0.16,0.7
131,PROLOGIS INC,5211,0.16,0.33
132,AMERICAN INTERNATIONAL GROUP,5146,0.16,0.87
133,WORKDAY INC CLASS A,5117,0.16,0.68
134,SCHLUMBERGER LTD,5117,0.16,0.53
135,BOEING CO/THE,5108,0.16,0.25
136,INDUSTRIA DE DISENO TEXTIL,5088,0.16,0.29
137,IQVIA HOLDINGS INC,5031,0.16,0.93
138,COLGATE PALMOLIVE CO,5009,0.16,0.59
139,AIRBUS SE,5003,0.16,0.32
140,ESSILORLUXOTTICA,4956,0.15,0.42
141,CSL LTD,4948,0.15,0.41
142,UNION PACIFIC CORP,4946,0.15,0.26
143,BLACKROCK INC,4913,0.15,0.32
144,NXP SEMICONDUCTORS NV,4912,0.15,0.65
145,GENERAL ELECTRIC CO,4831,0.15,0.27
146,BECTON DICKINSON AND CO,4794,0.15,0.53
147,SAP SE,4784,0.15,0.2
148,HUMANA INC,4782,0.15,0.67
149,INTL BUSINESS MACHINES CORP,4779,0.15,0.25
150,TOKYO ELECTRON LTD,4778,0.15,0.44
151,SUMITOMO MITSUI FINANCIAL GR,4774,0.15,0.57
152,DIAGEO PLC,4747,0.15,0.45
153,MARATHON PETROLEUM CORP,4739,0.15,0.69
154,HALLIBURTON CO,4719,0.15,1.14
155,HDFC BANK LIMITED,4703,0.15,0.23
156,VANGUARD FTSE ALL WORLD EX US,4696,0.15,0.98
157,ATLASSIAN CORP CL A,4681,0.15,0.97
158,ADYEN NV,4673,0.15,0.91
159,CANADIAN NATL RAILWAY CO,4643,0.14,0.45
160,HONEYWELL INTERNATIONAL INC,4635,0.14,0.26
161,KROGER CO,4612,0.14,1.09
162,AMGEN INC,4606,0.14,0.23
163,O REILLY AUTOMOTIVE INC,4592,0.14,0.63
164,GENERAL MOTORS CO,4559,0.14,0.85
165,DEXCOM INC,4557,0.14,0.74
166,LOWE S COS INC,4548,0.14,0.28
167,BAE SYSTEMS PLC,4494,0.14,0.81
168,HERMES INTERNATIONAL,4462,0.14,0.15
169,T MOBILE US INC,4446,0.14,0.18
170,PALO ALTO NETWORKS INC,4427,0.14,0.36
171,CATERPILLAR INC,4420,0.14,0.23
172,BANK OF NEW YORK MELLON CORP,4373,0.14,0.86
173,FIDELITY NATIONAL INFO SERV,4348,0.14,0.97
174,EDWARDS LIFESCIENCES CORP,4312,0.13,0.73
175,DANONE,4277,0.13,0.75
176,EATON CORP PLC,4208,0.13,0.34
177,TE CONNECTIVITY LTD,4205,0.13,0.75
178,CHUBB LTD,4109,0.13,0.35
179,NATIONAL GRID PLC,4102,0.13,0.63
180,ALLIANZ SE REG,4090,0.13,0.3
181,BOSTON SCIENTIFIC CORP,4087,0.13,0.37
182,IBERDROLA SA,4040,0.13,0.37
183,CADENCE DESIGN SYS INC,4023,0.13,0.42
184,VALERO ENERGY CORP,3985,0.12,0.72
185,MITSUBISHI UFJ FINANCIAL GRO,3916,0.12,0.28
186,AT+T INC,3903,0.12,0.25
187,AIR PRODUCTS + CHEMICALS INC,3889,0.12,0.5
188,EQUINIX INC,3867,0.12,0.39
189,ZOETIS INC,3865,0.12,0.33
190,DBS GROUP HOLDINGS LTD,3864,0.12,0.46
191,FASTENAL CO,3856,0.12,0.81
192,WATERS CORP,3847,0.12,1.53
193,VINCI SA,3812,0.12,0.4
194,MCKESSON CORP,3784,0.12,0.48
195,ENBRIDGE INC,3780,0.12,0.38
196,FREEPORT MCMORAN INC,3777,0.12,0.48
197,BLACKSTONE INC,3776,0.12,0.31
198,STARBUCKS CORP,3745,0.12,0.27
199,HESS CORP,3741,0.12,0.66
200,CAPITAL ONE FINANCIAL CORP,3739,0.12,0.58
201,PRUDENTIAL PLC,3733,0.12,0.93
202,GSK PLC,3729,0.12,0.38
203,BAYER AG REG,3724,0.12,0.79
204,GLENCORE PLC,3684,0.11,0.39
205,SYNOPSYS INC,3673,0.11,0.36
206,OLD DOMINION FREIGHT LINE,3662,0.11,0.32
207,BP PLC,3621,0.11,0.28
208,ANHEUSER BUSCH INBEV SA/NV,3613,0.11,0.24
209,EXPERIAN PLC,3607,0.11,0.74
210,ASML HOLDING NV NY REG SHS,3580,0.11,0.09
211,ALIBABA GROUP HOLDING SP ADR,3559,0.11,0.14
212,CVS HEALTH CORP,3543,0.11,0.28
213,ROCKWELL AUTOMATION INC,3495,0.11,0.76
214,FORTINET INC,3462,0.11,0.6
215,INTERCONTINENTAL EXCHANGE IN,3453,0.11,0.37
216,ANALOG DEVICES INC,3441,0.11,0.27
217,WILLIS TOWERS WATSON PLC,3441,0.11,1.08
218,BRISTOL MYERS SQUIBB CO,3429,0.11,0.26
219,COMMONWEALTH BANK OF AUSTRAL,3412,0.11,0.21
220,PERNOD RICARD SA,3400,0.11,0.58
221,WOLTERS KLUWER,3375,0.11,0.74
222,US BANCORP,3361,0.1,0.39
223,PAYCHEX INC,3354,0.1,0.61
224,HITACHI LTD,3327,0.1,0.39
225,PROGRESSIVE CORP,3319,0.1,0.28
226,RIO TINTO PLC,3314,0.1,0.28
227,SPDR GOLD SHARES,3307,0.1,0.47
228,INTERPUBLIC GROUP OF COS INC,3305,0.1,2.07
229,ROYAL BANK OF CANADA,3274,0.1,0.18
230,ROSS STORES INC,3267,0.1,0.54
231,ENI SPA,3261,0.1,0.44
232,UNITED PARCEL SERVICE CL B,3258,0.1,0.22
233,STATE STREET CORP,3236,0.1,1.07
234,PIONEER NATURAL RESOURCES CO,3226,0.1,0.48
235,NEXTERA ENERGY INC,3215,0.1,0.2
236,MANULIFE FINANCIAL CORP,3189,0.1,0.62
237,MONDELEZ INTERNATIONAL INC A,3188,0.1,0.25
238,OMNICOM GROUP,3171,0.1,1.44
239,BANK OF NOVA SCOTIA,3154,0.1,0.41
240,HENKEL AG + CO KGAA VOR PREF,3132,0.1,1.69
241,ARISTA NETWORKS INC,3122,0.1,0.33
242,CIE FINANCIERE RICHEMO A REG,3100,0.1,0.33
243,CINTAS CORP,3099,0.1,0.39
244,SYSCO CORP,3087,0.1,0.66
245,PUBLIC STORAGE,3044,0.1,0.44
246,LOCKHEED MARTIN CORP,3040,0.09,0.22
247,CDW CORP/DE,3035,0.09,0.77
248,PHILLIPS 66,3029,0.09,0.41
249,RELIANCE INDUSTRIES LTD,3022,0.09,0.11
250,ABB LTD REG,3010,0.09,0.28
251,AUTOZONE INC,3002,0.09,0.52
252,MASCO CORP,2989,0.09,1.57
253,EOG RESOURCES INC,2979,0.09,0.33
254,SEAGATE TECHNOLOGY HOLDINGS,2971,0.09,1.29
255,GARTNER INC,2966,0.09,0.65
256,PROSUS NV,2965,0.09,0.3
257,SHOPIFY INC   CLASS A,2964,0.09,0.24
258,BRITISH AMERICAN TOBACCO PLC,2954,0.09,0.35
259,DUKE ENERGY CORP,2952,0.09,0.31
260,JOHNSON CONTROLS INTERNATION,2929,0.09,0.58
261,CAPGEMINI SE,2925,0.09,0.63
262,MODERNA INC,2922,0.09,0.6
263,ISHARES CORE DAX UCITS ETF DE,2919,0.09,3.44
264,3I GROUP PLC,2914,0.09,0.75
265,AXA SA,2908,0.09,0.3
266,KKR + CO INC,2886,0.09,0.31
267,WEST PHARMACEUTICAL SERVICES,2881,0.09,0.87
268,NATWEST GROUP PLC,2878,0.09,0.91
269,DOLLAR GENERAL CORP,2865,0.09,0.74
270,AMERICAN TOWER CORP,2853,0.09,0.22
271,ARTHUR J GALLAGHER + CO,2849,0.09,0.45
272,REGENERON PHARMACEUTICALS,2848,0.09,0.23
273,CUMMINS INC,2844,0.09,0.65
274,TRADE DESK INC/THE  CLASS A,2817,0.09,0.68
275,DATADOG INC   CLASS A,2807,0.09,0.59
276,CNH INDUSTRIAL NV,2802,0.09,1.43
277,ASTRAZENECA PLC SPONS ADR,2797,0.09,0.1
278,ISHARES MSCI SPAIN ETF,2797,0.09,21.47
279,TORONTO DOMINION BANK,2787,0.09,0.19
280,KLA CORP,2782,0.09,0.27
281,CLOUDFLARE INC   CLASS A,2776,0.09,0.87
282,APTIV PLC,2774,0.09,0.88
283,HP INC,2773,0.09,0.73
284,FERRARI NV,2765,0.09,0.35
285,AIR LIQUIDE SA,2752,0.09,0.21
286,AUTODESK INC,2752,0.09,0.41
287,SHERWIN WILLIAMS CO/THE,2725,0.09,0.27
288,STELLANTIS NV,2700,0.08,0.28
289,ENEL SPA,2697,0.08,0.28
290,MEITUAN CLASS B,2688,0.08,0.35
291,TRANSDIGM GROUP INC,2679,0.08,0.37
292,COSTAR GROUP INC,2666,0.08,0.58
293,ROPER TECHNOLOGIES INC,2640,0.08,0.35
294,CSX CORP,2624,0.08,0.3
295,CHARTER COMMUNICATIONS INC A,2594,0.08,0.32
296,BANCO BILBAO VIZCAYA ARGENTA,2581,0.08,0.37
297,SHOPIFY INC   CLASS A,2565,0.08,0.21
298,CANADIAN NATURAL RESOURCES,2555,0.08,0.28
299,MITSUBISHI CORP,2553,0.08,0.3
300,UNITED OVERSEAS BANK LTD,2545,0.08,0.55
301,MONSTER BEVERAGE CORP,2543,0.08,0.33
302,FERGUSON PLC,2537,0.08,0.5
303,ALTRIA GROUP INC,2510,0.08,0.27
304,SOUTHERN CO/THE,2493,0.08,0.25
305,CHIPOTLE MEXICAN GRILL INC,2484,0.08,0.31
306,T ROWE PRICE GROUP INC,2479,0.08,0.8
307,NORDEA BANK ABP,2473,0.08,0.44
308,CHINA CONSTRUCTION BANK H,2471,0.08,0.13
309,KDDI CORP,2463,0.08,0.26
310,INFINEON TECHNOLOGIES AG,2458,0.08,0.35
311,ITOCHU CORP,2453,0.08,0.29
312,MITSUI + CO LTD,2449,0.08,0.33
313,FORD MOTOR CO,2448,0.08,0.4
314,DHL GROUP,2448,0.08,0.31
315,COPART INC,2439,0.08,0.4
316,TRUIST FINANCIAL CORP,2435,0.08,0.38
317,JULIUS BAER GROUP LTD,2419,0.08,1.63
318,TRANE TECHNOLOGIES PLC,2404,0.08,0.34
319,PACCAR INC,2402,0.07,0.36
320,MICROCHIP TECHNOLOGY INC,2368,0.07,0.38
321,FEDEX CORP,2364,0.07,0.29
322,NETAPP INC,2347,0.07,1
323,CHENIERE ENERGY INC,2338,0.07,0.45
324,EQUINOR ASA,2336,0.07,0.19
325,EMERSON ELECTRIC CO,2334,0.07,0.33
326,NEWMONT CORP,2329,0.07,0.38
327,DEUTSCHE TELEKOM AG REG,2322,0.07,0.15
328,EXPEDITORS INTL WASH INC,2281,0.07,0.97
329,AMERIPRISE FINANCIAL INC,2279,0.07,0.46
330,AGILENT TECHNOLOGIES INC,2269,0.07,0.43
331,SAFRAN SA,2238,0.07,0.23
332,LONDON STOCK EXCHANGE GROUP,2230,0.07,0.27
333,MOTOROLA SOLUTIONS INC,2228,0.07,0.33
334,SPOTIFY TECHNOLOGY SA,2221,0.07,0.46
335,MARRIOTT INTERNATIONAL  CL A,2221,0.07,0.26
336,BANK CENTRAL ASIA TBK PT,2201,0.07,0.23
337,BANCO SANTANDER SA,2187,0.07,0.26
338,IDEXX LABORATORIES INC,2185,0.07,0.37
339,WASTE CONNECTIONS INC,2185,0.07,0.44
340,KASIKORNBANK PCL FOREIGN,2182,0.07,1.81
341,SEVEN + I HOLDINGS CO LTD,2143,0.07,0.16
342,WASTE MANAGEMENT INC,2139,0.07,0.23
343,PARKER HANNIFIN CORP,2129,0.07,0.28
344,BANK RAKYAT INDONESIA PERSER,2128,0.07,0.29
345,DR HORTON INC,2127,0.07,0.33
346,MEDIATEK INC,2124,0.07,0.31
347,CENTENE CORP,2121,0.07,0.41
348,L3HARRIS TECHNOLOGIES INC,2119,0.07,0.41
349,AFLAC INC,2106,0.07,0.34
350,BEST BUY CO INC,2104,0.07,0.97
351,PAYPAL HOLDINGS INC,2102,0.07,0.25
352,PPG INDUSTRIES INC,2100,0.07,0.46
353,RELX PLC,2098,0.07,0.22
354,ECOLAB INC,2091,0.07,0.29
355,CANADIAN PACIFIC KANSAS CITY,2089,0.07,0.22
356,WILLIAMS COS INC,2087,0.07,0.38
357,ILLINOIS TOOL WORKS,2084,0.07,0.21
358,AMETEK INC,2078,0.06,0.42
359,LULULEMON ATHLETICA INC,2065,0.06,0.26
360,ENTERGY CORP,2057,0.06,0.74
361,ZURICH INSURANCE GROUP AG,2056,0.06,0.21
362,GENMAB A/S,2040,0.06,0.75
363,PINTEREST INC  CLASS A,2025,0.06,0.71
364,TARGET CORP,2017,0.06,0.24
365,BANK OF MONTREAL,2013,0.06,0.22
366,UNICREDIT SPA,2011,0.06,0.34
367,INTESA SANPAOLO,2008,0.06,0.29
368,CRH PLC,1998,0.06,0.33
369,MARKETAXESS HOLDINGS INC,1997,0.06,1.4
370,TRAVELERS COS INC/THE,1991,0.06,0.35
371,SNOWFLAKE INC CLASS A,1983,0.06,0.23
372,NATIONAL AUSTRALIA BANK LTD,1971,0.06,0.24
373,SMC CORP,1959,0.06,0.42
374,TESCO PLC,1941,0.06,0.58
375,CANADIAN PACIFIC KANSAS CITY,1925,0.06,0.2
376,HONG KONG EXCHANGES + CLEAR,1921,0.06,0.34
377,GRUPO FINANCIERO BANORTE O,1921,0.06,0.51
378,CORTEVA INC,1918,0.06,0.45
379,PNC FINANCIAL SERVICES GROUP,1911,0.06,0.24
380,LENNOX INTERNATIONAL INC,1899,0.06,0.92
381,CAN IMPERIAL BK OF COMMERCE,1895,0.06,0.32
382,HALEON PLC,1881,0.06,0.39
383,NUCOR CORP,1879,0.06,0.35
384,PUBLICIS GROUPE,1875,0.06,0.62
385,NIPPON TELEGRAPH + TELEPHONE,1873,0.06,0.13
386,ALCON INC,1870,0.06,0.37
387,LENNAR CORP A,1869,0.06,0.4
388,RECRUIT HOLDINGS CO LTD,1867,0.06,0.21
389,BASF SE,1864,0.06,0.3
390,BOOZ ALLEN HAMILTON HOLDINGS,1862,0.06,0.87
391,MSCI INC,1859,0.06,0.32
392,FANUC CORP,1846,0.06,0.49
393,3M CO,1800,0.06,0.23
394,ON SEMICONDUCTOR,1770,0.06,0.38
395,BAIDU INC CLASS A,1747,0.05,0.4
396,NINTENDO CO LTD,1743,0.05,0.2
397,LONZA GROUP AG REG,1741,0.05,0.43
398,VERISK ANALYTICS INC,1739,0.05,0.39
399,KENVUE INC,1735,0.05,0.33
400,ELECTRONIC ARTS INC,1728,0.05,0.37
401,MARVELL TECHNOLOGY INC,1722,0.05,0.26
402,RIO TINTO LTD,1717,0.05,0.39
403,HEWLETT PACKARD ENTERPRISE,1717,0.05,0.6
404,SECOM CO LTD,1716,0.05,0.79
405,AIRBNB INC CLASS A,1716,0.05,0.22
406,KIMBERLY CLARK CORP,1715,0.05,0.32
407,COUPANG INC,1705,0.05,0.5
408,SIMON PROPERTY GROUP INC,1703,0.05,0.28
409,COCA COLA EUROPACIFIC PARTNE,1687,0.05,0.43
410,YUM CHINA HOLDINGS INC,1683,0.05,0.78
411,AL RAJHI BANK,1680,0.05,0.14
412,ARAMARK,1679,0.05,1.77
413,STMICROELECTRONICS NV,1676,0.05,0.29
414,SKYWORKS SOLUTIONS INC,1669,0.05,0.72
415,KEURIG DR PEPPER INC,1666,0.05,0.28
416,HONDA MOTOR CO LTD,1658,0.05,0.23
417,COLOPLAST B,1655,0.05,0.53
418,SEMPRA,1651,0.05,0.27
419,MUENCHENER RUECKVER AG REG,1651,0.05,0.23
420,INTERTEK GROUP PLC,1641,0.05,1.46
421,TAKEDA PHARMACEUTICAL CO LTD,1635,0.05,0.28
422,CARRIER GLOBAL CORP,1634,0.05,0.25
423,WESTPAC BANKING CORP,1633,0.05,0.23
424,CROWN CASTLE INC,1620,0.05,0.25
425,DELL TECHNOLOGIES  C,1618,0.05,0.54
426,FAST RETAILING CO LTD,1613,0.05,0.16
427,DASSAULT SYSTEMES SE,1611,0.05,0.19
428,AMERICAN ELECTRIC POWER,1601,0.05,0.29
429,HOYA CORP,1599,0.05,0.28
430,NORFOLK SOUTHERN CORP,1595,0.05,0.21
431,HOLCIM LTD,1592,0.05,0.27
432,VICI PROPERTIES INC,1586,0.05,0.37
433,LEAR CORP,1582,0.05,1.52
434,E.ON SE,1581,0.05,0.35
435,ARCHER DANIELS MIDLAND CO,1579,0.05,0.33
436,DUPONT DE NEMOURS INC,1578,0.05,0.38
437,PING AN INSURANCE GROUP CO H,1577,0.05,0.36
438,KRAFT HEINZ CO/THE,1568,0.05,0.27
439,GENERAL MILLS INC,1556,0.05,0.33
440,B3 SA BRASIL BOLSA BALCAO,1555,0.05,0.71
441,MIZUHO FINANCIAL GROUP INC,1554,0.05,0.28
442,AVANTOR INC,1552,0.05,0.78
443,TATA CONSULTANCY SVCS LTD,1552,0.05,0.07
444,OCCIDENTAL PETROLEUM CORP,1542,0.05,0.23
445,ICON PLC,1540,0.05,0.51
446,CONAGRA BRANDS INC,1536,0.05,0.87
447,FUJITSU LIMITED,1536,0.05,0.04
448,HILTON WORLDWIDE HOLDINGS IN,1535,0.05,0.26
449,CRH PLC,1534,0.05,0.25
450,XCEL ENERGY INC,1532,0.05,0.35
451,WOODSIDE ENERGY GROUP LTD,1528,0.05,0.29
452,BANCO BRADESCO SA PREF,1526,0.05,0.63
453,WELLTOWER INC,1520,0.05,0.23
454,KYOCERA CORP,1519,0.05,0.53
455,DISCOVER FINANCIAL SERVICES,1515,0.05,0.42
456,CONSTELLATION BRANDS INC A,1514,0.05,0.27
457,REGIONS FINANCIAL CORP,1512,0.05,0.66
458,BROOKFIELD CORP,1493,0.05,0.19
459,CONTEMPORARY AMPEREX TECHN A,1472,0.05,0.11
460,AXALTA COATING SYSTEMS LTD,1470,0.05,1.52
461,LEGRAND SA,1466,0.05,0.42
462,ALLSTATE CORP,1466,0.05,0.31
463,VOLVO AB B SHS,1465,0.05,0.28
464,OTIS WORLDWIDE CORP,1458,0.05,0.31
465,DOMINION ENERGY INC,1456,0.05,0.29
466,TC ENERGY CORP,1448,0.05,0.28
467,ARCH CAPITAL GROUP LTD,1444,0.05,0.4
468,COMPAGNIE DE SAINT GOBAIN,1442,0.05,0.3
469,SMITH (A.O.) CORP,1437,0.04,1.11
470,MONGODB INC,1437,0.04,0.37
471,NETEASE INC,1436,0.04,0.19
472,VALE SA,1436,0.04,0.16
473,METLIFE INC,1433,0.04,0.23
474,OWENS CORNING,1419,0.04,0.85
475,NORTHERN TRUST CORP,1416,0.04,0.64
476,CONSTELLATION SOFTWARE INC,1405,0.04,0.21
477,HERSHEY CO/THE,1404,0.04,0.39
478,FORTESCUE LTD,1403,0.04,0.18
479,ICICI BANK LTD,1400,0.04,0.13
480,DOW INC,1396,0.04,0.28
481,VALE SA SP ADR,1394,0.04,0.15
482,TRACTOR SUPPLY COMPANY,1389,0.04,0.46
483,INFOSYS LTD,1384,0.04,0.14
484,YUM  BRANDS INC,1380,0.04,0.29
485,RHEINMETALL AG,1371,0.04,0.77
486,WESFARMERS LTD,1356,0.04,0.24
487,ANGLO AMERICAN PLC,1355,0.04,0.34
488,DAIICHI SANKYO CO LTD,1347,0.04,0.2
489,TOKIO MARINE HOLDINGS INC,1343,0.04,0.21
490,ICICI BANK LTD SPON ADR,1340,0.04,0.12
491,CHUGAI PHARMACEUTICAL CO LTD,1336,0.04,0.16
492,BIONTECH SE ADR,1336,0.04,0.41
493,SBA COMMUNICATIONS CORP,1333,0.04,0.38
494,SEA LTD ADR,1329,0.04,0.49
495,VERTIV HOLDINGS CO A,1327,0.04,0.56
496,LITHIA MOTORS INC,1324,0.04,1.13
497,ILLUMINA INC,1315,0.04,0.46
498,REALTY INCOME CORP,1310,0.04,0.21
499,CANON INC,1302,0.04,0.29
500,ENTEGRIS INC,1300,0.04,0.56
501,ROBLOX CORP  CLASS A,1299,0.04,0.38
502,BIOGEN INC,1295,0.04,0.27
503,ENPHASE ENERGY INC,1282,0.04,0.55
504,KONINKLIJKE AHOLD DELHAIZE N,1274,0.04,0.36
505,P G + E CORP,1270,0.04,0.26
506,DOMINO S PIZZA INC,1266,0.04,0.68
507,HOWMET AEROSPACE INC,1249,0.04,0.44
508,TECHTRONIC INDUSTRIES CO LTD,1246,0.04,0.44
509,ADIDAS AG,1243,0.04,0.26
510,DEUTSCHE BOERSE AG,1237,0.04,0.25
511,MITSUBISHI ELECTRIC CORP,1232,0.04,0.31
512,RYANAIR HOLDINGS PLC SP ADR,1231,0.04,0.31
513,EXELON CORP,1218,0.04,0.26
514,SAUDI ARABIAN OIL CO,1218,0.04,0
515,SOFTBANK GROUP CORP,1214,0.04,0.14
516,INGERSOLL RAND INC,1214,0.04,0.3
517,LKQ CORP,1213,0.04,0.74
518,ST JAMES S PLACE PLC,1210,0.04,1.96
519,DSV A/S,1207,0.04,0.24
520,CROWDSTRIKE HOLDINGS INC   A,1205,0.04,0.16
521,HON HAI PRECISION INDUSTRY,1203,0.04,0.2
522,CONSOLIDATED EDISON INC,1196,0.04,0.3
